product_id,product_brand,product_name,Refined_Brand,Product_Type,Meta_Category
88,Golden,Golden Blueberry Waffles,Golden,Waffles,Snacks/Frozen
89,Golden,Golden Fajita French Fries,Golden,Fries,Snacks/Frozen
90,Golden,Golden Waffles,Golden,Waffles,Snacks/Frozen
91,Golden,Golden Frozen Pepperoni Pizza,Golden,Pizza,Produce
92,Golden,Golden Frozen Cheese Pizza,Golden,Pizza,Produce
93,Golden,Golden Frozen Mushroom Pizza,Golden,Pizza,Produce
94,Golden,Golden Apple Cinnamon Waffles,Golden,Waffles,Produce
95,Golden,Golden Frozen Carrots,Golden,Carrots,Produce
96,Golden,Golden Turkey TV Dinner,Golden,Dinner,Meat/Seafood
97,Golden,Golden Chicken TV Dinner,Golden,Dinner,Meat/Seafood
98,Golden,Golden Beef TV Dinner,Golden,Dinner,Meat/Seafood
99,Golden,Golden Pancake Mix,Golden,Mix,Bakery/Pasta
100,Golden,Golden Grape Popsicles,Golden,Popsicles,Snacks/Frozen
101,Golden,Golden Home Style French Fries,Golden,Fries,Snacks/Frozen
102,Golden,Golden Lime Popsicles,Golden,Popsicles,Snacks/Frozen
103,Golden,Golden Ice Cream,Golden,Cream,Dairy
104,Golden,Golden Ice Cream Sandwich,Golden,Sandwich,Dairy
105,Golden,Golden Frozen Cauliflower,Golden,Cauliflower,Produce
106,Golden,Golden Frozen Broccoli,Golden,Broccoli,Produce
107,Golden,Golden Frozen Corn,Golden,Corn,Produce
108,Golden,Golden Frozen Peas,Golden,Peas,Produce
109,Golden,Golden Popsicles,Golden,Popsicles,Snacks/Frozen
110,Golden,Golden Frozen Chicken Thighs,Golden,Thighs,Produce
111,Golden,Golden Frozen Chicken Wings,Golden,Wings,Produce
112,Golden,Golden Lemon Popsicles,Golden,Popsicles,Snacks/Frozen
113,Faux Products,Faux Products Silky Smooth Hair Conditioner,Faux Products,Conditioner,Personal Care
114,Faux Products,Faux Products Tartar Control Toothpaste,Faux Products,Toothpaste,Personal Care
115,Faux Products,Faux Products Whitening Toothpast,Faux Products,Toothpast,Miscellaneous
116,Faux Products,Faux Products Toothpaste,Faux Products,Toothpaste,Personal Care
117,Faux Products,Faux Products Deodorant,Faux Products,Deodorant,Personal Care
118,Faux Products,Faux Products Conditioning Shampoo,Faux Products,Shampoo,Meat/Seafood
119,Faux Products,Faux Products Extra Moisture Shampoo,Faux Products,Shampoo,Meat/Seafood
120,Faux Products,Faux Products Angled Toothbrush,Faux Products,Toothbrush,Miscellaneous
121,Faux Products,Faux Products Apricot Shampoo,Faux Products,Shampoo,Meat/Seafood
122,Faux Products,Faux Products Childrens Aspirin,Faux Products,Aspirin,Personal Care
123,Faux Products,Faux Products Buffered Aspirin,Faux Products,Aspirin,Personal Care
124,Faux Products,Faux Products 200 MG Ibuprofen,Faux Products,Ibuprofen,Miscellaneous
125,Faux Products,Faux Products 200 MG Acetominifen,Faux Products,Acetominifen,Personal Care
126,Faux Products,Faux Products HCL Nasal Spray,Faux Products,Spray,Miscellaneous
127,Faux Products,Faux Products Dishwasher Detergent,Faux Products,Detergent,Household
128,Faux Products,Faux Products Multi-Symptom Cold Remedy,Faux Products,Remedy,Personal Care
129,Faux Products,Faux Products Childrens Cold Remedy,Faux Products,Remedy,Personal Care
130,Faux Products,Faux Products Laundry Detergent,Faux Products,Detergent,Household
131,Faux Products,Faux Products Mint Mouthwash,Faux Products,Mouthwash,Miscellaneous
132,Denny,Denny 60 Watt Lightbulb,Denny,Lightbulb,Household
133,Denny,Denny Plastic Forks,Denny,Forks,Household
134,Denny,Denny Plastic Spoons,Denny,Spoons,Household
135,Denny,Denny Plastic Knives,Denny,Knives,Household
136,Denny,Denny C-Size Batteries,Denny,Batteries,Miscellaneous
137,Denny,Denny 100 Watt Lightbulb,Denny,Lightbulb,Household
138,Denny,Denny AAA-Size Batteries,Denny,Batteries,Miscellaneous
139,Denny,Denny Paper Plates,Denny,Plates,Household
140,Denny,Denny Paper Cups,Denny,Cups,Household
141,Denny,Denny 75 Watt Lightbulb,Denny,Lightbulb,Household
142,Denny,Denny Toilet Bowl Cleaner,Denny,Cleaner,Household
143,Denny,Denny Counter Cleaner,Denny,Cleaner,Household
144,Denny,Denny Glass Cleaner,Denny,Cleaner,Household
145,Denny,Denny 25 Watt Lightbulb,Denny,Lightbulb,Household
146,Denny,Denny AA-Size Batteries,Denny,Batteries,Miscellaneous
147,Denny,Denny D-Size Batteries,Denny,Batteries,Miscellaneous
148,Denny,Denny Paper Towels,Denny,Towels,Household
149,Denny,Denny Soft Napkins,Denny,Napkins,Household
150,Denny,Denny Scented Tissue,Denny,Tissue,Household
151,Denny,Denny Toilet Paper,Denny,Paper,Household
152,Denny,Denny Tissues,Denny,Tissues,Household
153,Denny,Denny Scented Toilet Tissue,Denny,Tissue,Household
154,Denny,Denny Room Freshener,Denny,Freshener,Produce
155,Denny,Denny Frying Pan,Denny,Pan,Miscellaneous
156,Denny,Denny Copper Cleaner,Denny,Cleaner,Household
157,Denny,Denny Bees Wax Candles,Denny,Candles,Miscellaneous
158,Denny,Denny Silver Cleaner,Denny,Cleaner,Household
159,Denny,Denny Copper Pot Scrubber,Denny,Scrubber,Miscellaneous
160,Denny,Denny Economy Toilet Brush,Denny,Brush,Pantry
161,Denny,Denny Scissors,Denny,Scissors,Miscellaneous
162,Denny,Denny Large Sponge,Denny,Sponge,Miscellaneous
163,Denny,Denny Screw Driver,Denny,Driver,Miscellaneous
164,Ship Shape,Ship Shape Extra Lean Hamburger,Market Meat/Seafood,Hamburger,Meat/Seafood
165,Ship Shape,Ship Shape Seasoned Hamburger,Market Meat/Seafood,Hamburger,Meat/Seafood
166,Robust,Robust Monthly Sports Magazine,Market Media,Magazine,Media
167,Robust,Robust Monthly Auto Magazine,Market Media,Magazine,Media
168,Robust,Robust Monthly Computer Magazine,Market Media,Magazine,Media
169,Robust,Robust Monthly Home Magazine,Market Media,Magazine,Media
170,Robust,Robust Monthly Fashion Magazine,Market Media,Magazine,Media
171,High Top,High Top Summer Squash,High Top,Squash,Miscellaneous
172,High Top,High Top Corn on the Cob,High Top,Cob,Produce
173,High Top,High Top Asparagus,High Top,Asparagus,Produce
174,High Top,High Top Sweet Peas,High Top,Peas,Produce
175,High Top,High Top New Potatos,High Top,Potatos,Produce
176,High Top,High Top Beets,High Top,Beets,Produce
177,High Top,High Top Prepared Salad,High Top,Salad,Miscellaneous
178,High Top,High Top Onions,High Top,Onions,Produce
179,High Top,High Top Green Pepper,High Top,Pepper,Pantry
180,High Top,High Top Shitake Mushrooms,High Top,Mushrooms,Produce
181,High Top,High Top Lettuce,High Top,Lettuce,Produce
182,High Top,High Top Elephant Garlic,High Top,Garlic,Produce
183,High Top,High Top Red Pepper,High Top,Pepper,Pantry
184,High Top,High Top Garlic,High Top,Garlic,Produce
185,High Top,High Top Potatos,High Top,Potatos,Produce
186,High Top,High Top Cauliflower,High Top,Cauliflower,Produce
187,High Top,High Top Tomatos,High Top,Tomatos,Produce
188,High Top,High Top Mushrooms,High Top,Mushrooms,Produce
189,High Top,High Top Baby Onion,High Top,Onion,Produce
190,High Top,High Top Dried Mushrooms,High Top,Mushrooms,Produce
191,High Top,High Top Fresh Lima Beans,High Top,Beans,Produce
192,High Top,High Top Squash,High Top,Squash,Miscellaneous
193,High Top,High Top Limes,High Top,Limes,Miscellaneous
194,High Top,High Top Firm Tofu,High Top,Tofu,Miscellaneous
195,High Top,High Top Almonds,High Top,Almonds,Miscellaneous
196,High Top,High Top Macintosh Apples,High Top,Apples,Produce
197,High Top,High Top Golden Delcious Apples,High Top,Apples,Produce
198,High Top,High Top Red Delcious Apples,High Top,Apples,Produce
199,High Top,High Top Lemons,High Top,Lemons,Miscellaneous
200,High Top,High Top Fancy Plums,High Top,Plums,Miscellaneous
201,High Top,High Top Plums,High Top,Plums,Miscellaneous
202,High Top,High Top Peaches,High Top,Peaches,Produce
203,High Top,High Top Broccoli,High Top,Broccoli,Produce
204,High Top,High Top Mandarin Oranges,High Top,Oranges,Miscellaneous
205,High Top,High Top Mixed Nuts,High Top,Nuts,Produce
206,High Top,High Top Canned Peanuts,High Top,Peanuts,Produce
207,High Top,High Top Sweet Onion,High Top,Onion,Produce
208,High Top,High Top Cantelope,High Top,Cantelope,Miscellaneous
209,High Top,High Top Honey Dew,High Top,Dew,Pantry
210,High Top,High Top Fuji Apples,High Top,Apples,Produce
211,High Top,High Top Walnuts,High Top,Walnuts,Produce
212,High Top,High Top Oranges,High Top,Oranges,Miscellaneous
213,High Top,High Top Tangerines,High Top,Tangerines,Miscellaneous
214,High Top,High Top Party Nuts,High Top,Nuts,Produce
215,Tip Top,Tip Top Lox,Market Meat/Seafood,Lox,Meat/Seafood
216,Tip Top,Tip Top Scallops,Market Meat/Seafood,Scallops,Meat/Seafood
217,Best Choice,Best Choice Low Fat Cookies,Best Choice,Cookies,Snacks/Frozen
218,Best Choice,Best Choice BBQ Potato Chips,Best Choice,Chips,Produce
219,Best Choice,Best Choice Corn Chips,Best Choice,Chips,Produce
220,Best Choice,Best Choice Low Fat BBQ Chips,Best Choice,Chips,Snacks/Frozen
221,Best Choice,Best Choice Sugar Cookies,Best Choice,Cookies,Snacks/Frozen
222,Best Choice,Best Choice Chocolate Chip Cookies,Best Choice,Cookies,Beverage
223,Best Choice,Best Choice Fudge Cookies,Best Choice,Cookies,Snacks/Frozen
224,Best Choice,Best Choice Fudge Brownies,Best Choice,Brownies,Miscellaneous
225,Best Choice,Best Choice Potato Chips,Best Choice,Chips,Produce
226,Best Choice,Best Choice Lemon Cookies,Best Choice,Cookies,Snacks/Frozen
227,Best Choice,Best Choice Graham Crackers,Best Choice,Crackers,Snacks/Frozen
228,Best Choice,Best Choice Cheese Crackers,Best Choice,Crackers,Dairy
229,Best Choice,Best Choice Buttered Popcorn,Best Choice,Popcorn,Produce
230,Best Choice,Best Choice No Salt Popcorn,Best Choice,Popcorn,Produce
231,Best Choice,Best Choice Low Fat Popcorn,Best Choice,Popcorn,Produce
232,Best Choice,Best Choice Salsa Dip,Best Choice,Dip,Miscellaneous
233,Best Choice,Best Choice Avocado Dip,Best Choice,Dip,Miscellaneous
234,Best Choice,Best Choice Salted Pretzels,Best Choice,Pretzels,Snacks/Frozen
235,Best Choice,Best Choice Cheese Dip,Best Choice,Dip,Dairy
236,Best Choice,Best Choice Fondue Mix,Best Choice,Mix,Miscellaneous
237,Best Choice,Best Choice Mini Donuts,Best Choice,Donuts,Produce
238,Best Choice,Best Choice Beef Jerky,Best Choice,Jerky,Meat/Seafood
239,Best Choice,Best Choice Chocolate Donuts,Best Choice,Donuts,Beverage
240,Best Choice,Best Choice Low Fat Chips,Best Choice,Chips,Snacks/Frozen
241,Best Choice,Best Choice Sesame Crackers,Best Choice,Crackers,Snacks/Frozen
242,Best Choice,Best Choice Frosted Cookies,Best Choice,Cookies,Snacks/Frozen
243,Best Choice,Best Choice Dried Apples,Best Choice,Apples,Produce
244,Best Choice,Best Choice Apple Fruit Roll,Best Choice,Roll,Produce
245,Best Choice,Best Choice Strawberry Fruit Roll,Best Choice,Roll,Produce
246,Best Choice,Best Choice Raspberry Fruit Roll,Best Choice,Roll,Produce
247,Best Choice,Best Choice Grape Fruit Roll,Best Choice,Roll,Produce
248,Best Choice,Best Choice Dried Dates,Best Choice,Dates,Produce
249,Best Choice,Best Choice Raisins,Best Choice,Raisins,Miscellaneous
250,Best Choice,Best Choice Golden Raisins,Best Choice,Raisins,Miscellaneous
251,Best Choice,Best Choice Dried Apricots,Best Choice,Apricots,Produce
252,Best Choice,Best Choice Frosted Donuts,Best Choice,Donuts,Produce
253,Choice,Choice Tasty Candy Bar,Market Snacks/Frozen,Bar,Snacks/Frozen
254,Choice,Choice Mint Chocolate Bar,Market Beverage,Bar,Beverage
255,Choice,Choice Malted Milk Balls,Market Beverage,Balls,Beverage
256,Choice,Choice Semi-Sweet Chocolate Bar,Market Beverage,Bar,Beverage
257,Choice,Choice Bubble Gum,Market Snacks/Frozen,Gum,Snacks/Frozen
258,Choice,Choice Spicy Mints,Market Miscellaneous,Mints,Miscellaneous
259,Choice,Choice Mints,Market Miscellaneous,Mints,Miscellaneous
260,Choice,Choice White Chocolate Bar,Market Beverage,Bar,Beverage
261,Medalist,Medalist Ravioli,Market Miscellaneous,Ravioli,Miscellaneous
262,Medalist,Medalist Manicotti,Market Miscellaneous,Manicotti,Miscellaneous
263,Medalist,Medalist Spaghetti,Market Bakery/Pasta,Spaghetti,Bakery/Pasta
264,Medalist,Medalist Thai Rice,Market Pantry,Rice,Pantry
265,Medalist,Medalist Rice Medly,Market Pantry,Medly,Pantry
266,Good,Good Imported Beer,Market Beverage,Beer,Beverage
267,Good,Good Light Wine,Market Beverage,Wine,Beverage
268,Good,Good Chardonnay Wine,Market Beverage,Wine,Beverage
269,Good,Good Chablis Wine,Market Beverage,Wine,Beverage
270,Good,Good Merlot Wine,Market Beverage,Wine,Beverage
271,Good,Good Chardonnay,Market Miscellaneous,Chardonnay,Miscellaneous
272,Good,Good White Zinfandel Wine,Market Beverage,Wine,Beverage
273,Good,Good Light Beer,Market Beverage,Beer,Beverage
274,Great,Great Pumpernickel Bread,Market Bakery/Pasta,Bread,Bakery/Pasta
275,Great,Great White Bread,Market Bakery/Pasta,Bread,Bakery/Pasta
276,Great,Great Rye Bread,Market Bakery/Pasta,Bread,Bakery/Pasta
277,Great,Great English Muffins,Market Bakery/Pasta,Muffins,Bakery/Pasta
278,Great,Great Cranberry Muffins,Market Bakery/Pasta,Muffins,Bakery/Pasta
279,Great,Great Muffins,Market Bakery/Pasta,Muffins,Bakery/Pasta
280,Great,Great Bagels,Market Bakery/Pasta,Bagels,Bakery/Pasta
281,Great,Great Blueberry Muffins,Market Bakery/Pasta,Muffins,Bakery/Pasta
282,Great,Great Wheat Bread,Market Bakery/Pasta,Bread,Bakery/Pasta
283,Super,Super Sesame Oil,Super,Oil,Pantry
284,Super,Super Chunky Peanut Butter,Super,Butter,Produce
285,Super,Super Hot Chocolate,Super,Chocolate,Beverage
286,Super,Super Brown Sugar,Super,Sugar,Pantry
287,Super,Super White Sugar,Super,Sugar,Pantry
288,Super,Super French Roast Coffee,Super,Coffee,Beverage
289,Super,Super Decaf Coffee,Super,Coffee,Beverage
290,Super,Super Regular Coffee,Super,Coffee,Beverage
291,Super,Super Vegetable Oil,Super,Oil,Produce
292,Super,Super Corn Oil,Super,Oil,Produce
293,Super,Super Tomato Sauce,Super,Sauce,Produce
294,Super,Super Canola Oil,Super,Oil,Pantry
295,Super,Super Grape Preserves,Super,Preserves,Miscellaneous
296,Super,Super Columbian Coffee,Super,Coffee,Beverage
297,Super,Super Strawberry Jelly,Super,Jelly,Pantry
298,Super,Super Pepper,Super,Pepper,Pantry
299,Super,Super Low Fat Apple Butter,Super,Butter,Produce
300,Super,Super Salt,Super,Salt,Pantry
301,Super,Super Apple Butter,Super,Butter,Produce
302,Super,Super Oregano,Super,Oregano,Miscellaneous
303,Super,Super Apple Jelly,Super,Jelly,Produce
304,Super,Super Grape Jam,Super,Jam,Pantry
305,Super,Super Apple Jam,Super,Jam,Produce
306,Super,Super Strawberry Jam,Super,Jam,Pantry
307,Super,Super Creamy Peanut Butter,Super,Butter,Produce
308,Super,Super Strawberry Preserves,Super,Preserves,Miscellaneous
309,Super,Super Extra Chunky Peanut Butter,Super,Butter,Produce
310,Super,Super Apple Preserves,Super,Preserves,Produce
311,Super,Super Grape Jelly,Super,Jelly,Pantry
312,Excellent,Excellent Berry Juice,Market Beverage,Juice,Beverage
313,Excellent,Excellent Mango Drink,Market Beverage,Drink,Beverage
314,Excellent,Excellent Strawberry Drink,Market Beverage,Drink,Beverage
315,Excellent,Excellent Cream Soda,Market Beverage,Soda,Beverage
316,Excellent,Excellent Diet Soda,Market Beverage,Soda,Beverage
317,Excellent,Excellent Cola,Market Beverage,Cola,Beverage
318,Excellent,Excellent Diet Cola,Market Beverage,Cola,Beverage
319,Excellent,Excellent Orange Juice,Market Beverage,Juice,Beverage
320,Excellent,Excellent Cranberry Juice,Market Beverage,Juice,Beverage
321,Excellent,Excellent Apple Juice,Market Beverage,Juice,Beverage
322,Excellent,Excellent Apple Drink,Market Beverage,Drink,Beverage
323,Best,Best Oatmeal,Market Snacks/Frozen,Oatmeal,Snacks/Frozen
324,Best,Best Corn Puffs,Market Produce,Puffs,Produce
325,Best,Best Wheat Puffs,Market Snacks/Frozen,Puffs,Snacks/Frozen
326,Best,Best Grits,Market Snacks/Frozen,Grits,Snacks/Frozen
327,Better,Better Canned Beets,Better,Beets,Produce
328,Better,Better Creamed Corn,Better,Corn,Produce
329,Better,Better Canned String Beans,Better,Beans,Produce
330,Better,Better Chicken Soup,Better,Soup,Meat/Seafood
331,Better,Better Canned Yams,Better,Yams,Produce
332,Better,Better Vegetable Soup,Better,Soup,Produce
333,Better,Better Canned Tomatos,Better,Tomatos,Produce
334,Better,Better Noodle Soup,Better,Soup,Bakery/Pasta
335,Better,Better Regular Ramen Soup,Better,Soup,Bakery/Pasta
336,Better,Better Chicken Noodle Soup,Better,Soup,Bakery/Pasta
337,Better,Better Turkey Noodle Soup,Better,Soup,Bakery/Pasta
338,Better,Better Beef Soup,Better,Soup,Meat/Seafood
339,Better,Better Canned Peas,Better,Peas,Produce
340,Better,Better Chicken Ramen Soup,Better,Soup,Bakery/Pasta
341,Better,Better Canned Tuna in Water,Better,Water,Beverage
342,Better,Better Canned Tuna in Oil,Better,Oil,Produce
343,Better,Better Large Canned Shrimp,Better,Shrimp,Produce
344,Better,Better Fancy Canned Anchovies,Better,Anchovies,Produce
345,Better,Better Fancy Canned Clams,Better,Clams,Produce
346,Better,Better Fancy Canned Oysters,Better,Oysters,Produce
347,Better,Better Fancy Canned Sardines,Better,Sardines,Produce
348,Better,Better Rice Soup,Better,Soup,Pantry
349,Swell,Swell Canned Mixed Fruit,Market Produce,Fruit,Produce
350,Swell,Swell Canned Peaches,Market Produce,Peaches,Produce
351,ADJ,ADJ Rosy Sunglasses,Market Household,Sunglasses,Household
352,Black Tie,Black Tie Eyeglass Screwdriver,Market Household,Screwdriver,Household
353,Black Tie,Black Tie City Map,Market Household,Map,Household
354,Carlson,Carlson Low Fat Cottage Cheese,Carlson,Cheese,Dairy
355,Carlson,Carlson Low Fat Sour Cream,Carlson,Cream,Dairy
356,Carlson,Carlson Sour Cream,Carlson,Cream,Dairy
357,Carlson,Carlson Jack Cheese,Carlson,Cheese,Dairy
358,Carlson,Carlson Muenster Cheese,Carlson,Cheese,Dairy
359,Carlson,Carlson String Cheese,Carlson,Cheese,Dairy
360,Carlson,Carlson Low Fat String Cheese,Carlson,Cheese,Dairy
361,Carlson,Carlson Havarti Cheese,Carlson,Cheese,Dairy
362,Carlson,Carlson Head Cheese,Carlson,Cheese,Dairy
363,Carlson,Carlson Cheese Spread,Carlson,Spread,Dairy
364,Carlson,Carlson Sharp Cheddar Cheese,Carlson,Cheese,Dairy
365,Carlson,Carlson Mild Cheddar Cheese,Carlson,Cheese,Dairy
366,Carlson,Carlson Large Curd Cottage Cheese,Carlson,Cheese,Dairy
367,Carlson,Carlson 2% Milk,Carlson,Milk,Beverage
368,Carlson,Carlson Buttermilk,Carlson,Buttermilk,Beverage
369,Carlson,Carlson Chocolate Milk,Carlson,Milk,Beverage
370,Carlson,Carlson 1% Milk,Carlson,Milk,Beverage
371,Carlson,Carlson Whole Milk,Carlson,Milk,Beverage
372,Carlson,Carlson Strawberry Yogurt,Carlson,Yogurt,Dairy
373,Carlson,Carlson Blueberry Yogurt,Carlson,Yogurt,Dairy
374,Moms,Moms Chicken Hot Dogs,Market Snacks/Frozen,Dogs,Snacks/Frozen
375,Moms,Moms Pimento Loaf,Market Produce,Loaf,Produce
376,Moms,Moms Beef Bologna,Market Meat/Seafood,Bologna,Meat/Seafood
377,Moms,Moms Low Fat Bologna,Market Meat/Seafood,Bologna,Meat/Seafood
378,Moms,Moms Turkey Hot Dogs,Market Snacks/Frozen,Dogs,Snacks/Frozen
379,Moms,Moms Foot-Long Hot Dogs,Market Snacks/Frozen,Dogs,Snacks/Frozen
380,Moms,Moms Low Fat Cole Slaw,Market Miscellaneous,Slaw,Miscellaneous
381,Moms,Moms Cole Slaw,Market Miscellaneous,Slaw,Miscellaneous
382,Moms,Moms Roasted Chicken,Market Meat/Seafood,Chicken,Meat/Seafood
383,Moms,Moms Corned Beef,Market Produce,Beef,Produce
384,Moms,Moms Sliced Turkey,Market Meat/Seafood,Turkey,Meat/Seafood
385,Moms,Moms Sliced Ham,Market Meat/Seafood,Ham,Meat/Seafood
386,Moms,Moms Potato Salad,Market Produce,Salad,Produce
387,Moms,Moms Sliced Chicken,Market Meat/Seafood,Chicken,Meat/Seafood
388,Urban,Urban Small Brown Eggs,Market Dairy,Eggs,Dairy
389,Urban,Urban Large Brown Eggs,Market Dairy,Eggs,Dairy
390,Urban,Urban Small Eggs,Market Dairy,Eggs,Dairy
391,Urban,Urban Large Eggs,Market Dairy,Eggs,Dairy
392,Urban,Urban Egg Substitute,Market Dairy,Substitute,Dairy
393,Big Time,Big Time Low Fat Waffles,Big Time,Waffles,Snacks/Frozen
394,Big Time,Big Time Orange Popsicles,Big Time,Popsicles,Snacks/Frozen
395,Big Time,Big Time Frozen Chicken Breast,Big Time,Breast,Produce
