OrderID,CustomerID,ProductID,Quantity,OrderDate,ShipDate,PaymentType,SalesRep,Discount,TotalAmount
30000080,100097,200003,5,2025-06-28,2025-07-05,Bank Transfer,Rep_Omar,0.05,855.0
30000081,100066,200003,4,2025-07-19,2025-07-25,Bank Transfer,Rep_Mariam,0.0,720.0
30000082,100033,200003,1,2025-07-18,2025-07-24,Credit Card,Rep_Sara,0.0,180.0
30000083,100049,200002,2,2025-05-04,2025-05-08,Mobile Wallet,Rep_Ahmed,0.0,2398.0
30000084,100019,200004,3,2025-06-16,2025-06-18,Bank Transfer,Rep_Omar,0.1,621.0
30000085,100053,200009,2,2025-04-07,2025-04-12,Mobile Wallet,Rep_Mariam,0.0,320.0
30000086,100048,200007,3,2025-04-01,2025-04-04,Cash,Rep_Ahmed,0.05,185.25
30000087,100062,200010,1,2024-12-03,2024-12-10,Mobile Wallet,Rep_Ahmed,0.0,120.0
30000088,100006,200001,2,2025-05-23,2025-05-30,Bank Transfer,Rep_Sara,0.1,2338.2
30000089,100073,200003,4,2024-11-24,2024-11-26,Credit Card,Rep_Sara,0.05,684.0
30000090,100038,200003,2,2025-05-18,2025-05-20,Mobile Wallet,Rep_Ahmed,0.0,360.0
30000091,100043,200004,4,2024-09-22,2024-09-24,Cash,Rep_Sara,0.0,920.0
30000092,100026,200007,5,2025-02-09,2025-02-16,Cash,Rep_Mariam,0.05,308.75
30000093,100062,200005,4,2024-11-03,2024-11-09,Credit Card,Rep_Mariam,0.0,196.0
30000094,100066,200009,5,2024-10-20,2024-10-25,Mobile Wallet,Rep_Omar,0.0,800.0
30000095,100026,200004,2,2025-04-13,2025-04-18,Credit Card,Rep_Ahmed,0.05,437.0
30000096,100054,200003,2,2024-10-24,2024-10-29,Bank Transfer,Rep_Omar,0.0,360.0
30000097,100089,200005,2,2024-10-11,2024-10-13,Cash,Rep_Omar,0.0,98.0
30000098,100012,200006,5,2025-06-02,2025-06-08,Cash,Rep_Omar,0.1,4495.5
30000099,100007,200010,3,2025-06-08,2025-06-12,Cash,Rep_Omar,0.0,360.0
30000100,100096,200003,3,2024-11-23,2024-11-25,Bank Transfer,Rep_Mariam,0.1,486.0
30000101,100038,200009,3,2025-02-01,2025-02-08,Cash,Rep_Mariam,0.05,456.0
30000102,100046,200002,1,2024-12-10,2024-12-16,Cash,Rep_Omar,0.0,1199.0
30000103,100100,200008,4,2025-05-30,2025-05-31,Bank Transfer,Rep_Mariam,0.0,1280.0
30000104,100041,200007,5,2025-06-14,2025-06-18,Credit Card,Rep_Ahmed,0.05,308.75
30000105,100015,200004,3,2025-08-12,2025-08-17,Bank Transfer,Rep_Mariam,0.05,655.5
30000106,100053,200004,3,2025-07-05,2025-07-07,Cash,Rep_Omar,0.0,690.0
30000107,100077,200004,4,2025-08-14,2025-08-17,Credit Card,Rep_Omar,0.05,874.0
30000108,100076,200008,2,2025-07-29,2025-08-01,Credit Card,Rep_Sara,0.0,640.0
30000109,100097,200006,4,2025-03-25,2025-04-01,Mobile Wallet,Rep_Ahmed,0.0,3996.0
30000110,100021,200002,3,2024-11-09,2024-11-15,Bank Transfer,Rep_Ahmed,0.0,3597.0
30000111,100060,200002,4,2025-08-07,2025-08-09,Cash,Rep_Ahmed,0.0,4796.0
30000112,100084,200004,2,2025-09-10,2025-09-11,Cash,Rep_Omar,0.0,460.0
30000113,100084,200004,4,2024-10-22,2024-10-23,Mobile Wallet,Rep_Ahmed,0.0,920.0
30000114,100044,200010,5,2024-11-23,2024-11-28,Mobile Wallet,Rep_Ahmed,0.0,600.0
30000115,100049,200009,3,2024-12-21,2024-12-28,Credit Card,Rep_Ahmed,0.0,480.0
30000116,100043,200009,2,2025-04-23,2025-04-25,Cash,Rep_Sara,0.0,320.0
30000117,100043,200002,2,2025-05-05,2025-05-12,Bank Transfer,Rep_Mariam,0.0,2398.0
30000118,100003,200003,4,2025-06-22,2025-06-23,Bank Transfer,Rep_Sara,0.1,648.0
30000119,100005,200010,3,2024-10-06,2024-10-09,Cash,Rep_Sara,0.1,324.0
30000120,100085,200003,2,2025-01-04,2025-01-05,Bank Transfer,Rep_Omar,0.05,342.0
30000121,100016,200004,3,2024-10-19,2024-10-20,Mobile Wallet,Rep_Omar,0.1,621.0
30000122,100048,200007,4,2024-11-13,2024-11-14,Cash,Rep_Sara,0.05,247.0
30000123,100015,200002,3,2025-04-28,2025-05-02,Cash,Rep_Mariam,0.0,3597.0
30000124,100036,200002,5,2025-01-18,2025-01-20,Cash,Rep_Ahmed,0.05,5695.25
30000125,100069,200007,3,2025-02-22,2025-02-26,Mobile Wallet,Rep_Mariam,0.0,195.0
30000126,100080,200005,5,2025-02-03,2025-02-04,Cash,Rep_Mariam,0.1,220.5
30000127,100016,200008,5,2024-11-03,2024-11-10,Mobile Wallet,Rep_Sara,0.1,1440.0
30000128,100065,200002,5,2024-09-27,2024-10-03,Bank Transfer,Rep_Mariam,0.1,5395.5
30000129,100093,200005,4,2025-08-25,2025-08-29,Cash,Rep_Mariam,0.05,186.2
30000130,100015,200002,5,2025-08-31,2025-09-02,Bank Transfer,Rep_Ahmed,0.05,5695.25
30000131,100013,200004,1,2024-10-15,2024-10-19,Bank Transfer,Rep_Omar,0.05,218.5
30000132,100081,200002,4,2024-10-04,2024-10-11,Mobile Wallet,Rep_Omar,0.05,4556.2
30000133,100094,200003,5,2024-12-29,2024-12-31,Cash,Rep_Mariam,0.0,900.0
30000134,100066,200006,1,2025-03-23,2025-03-29,Mobile Wallet,Rep_Omar,0.05,949.05
30000135,100098,200006,5,2024-12-13,2024-12-15,Cash,Rep_Ahmed,0.05,4745.25
30000136,100045,200004,2,2025-07-20,2025-07-23,Mobile Wallet,Rep_Sara,0.05,437.0
30000137,100089,200001,2,2024-10-09,2024-10-12,Bank Transfer,Rep_Sara,0.0,2598.0
30000138,100099,200003,4,2024-10-06,2024-10-13,Bank Transfer,Rep_Sara,0.05,684.0
30000139,100034,200005,3,2024-09-21,2024-09-25,Mobile Wallet,Rep_Omar,0.05,139.65
30000140,100041,200010,2,2025-04-21,2025-04-23,Bank Transfer,Rep_Ahmed,0.1,216.0
30000141,100086,200004,3,2025-04-18,2025-04-20,Bank Transfer,Rep_Sara,0.0,690.0
30000142,100042,200010,5,2025-04-19,2025-04-24,Credit Card,Rep_Sara,0.0,600.0
30000143,100092,200009,3,2025-03-07,2025-03-12,Mobile Wallet,Rep_Sara,0.0,480.0
30000144,100007,200005,4,2025-08-16,2025-08-20,Bank Transfer,Rep_Sara,0.05,186.2
30000145,100014,200005,3,2025-05-21,2025-05-23,Bank Transfer,Rep_Sara,0.1,132.3
30000146,100066,200006,4,2025-05-30,2025-06-03,Credit Card,Rep_Ahmed,0.05,3796.2
30000147,100014,200003,3,2024-12-09,2024-12-13,Cash,Rep_Sara,0.1,486.0
30000148,100040,200009,4,2025-09-09,2025-09-11,Bank Transfer,Rep_Sara,0.0,640.0
30000149,100019,200004,2,2025-07-28,2025-07-29,Cash,Rep_Omar,0.1,414.0
30000150,100010,200002,4,2025-06-30,2025-07-07,Cash,Rep_Mariam,0.0,4796.0
30000151,100008,200001,3,2024-12-29,2024-12-30,Cash,Rep_Omar,0.0,3897.0
30000152,100032,200002,1,2025-09-04,2025-09-11,Cash,Rep_Omar,0.0,1199.0
30000153,100017,200009,4,2024-10-22,2024-10-28,Cash,Rep_Ahmed,0.05,608.0
30000154,100019,200009,2,2025-05-11,2025-05-16,Mobile Wallet,Rep_Mariam,0.0,320.0
30000155,100048,200003,3,2025-03-10,2025-03-16,Cash,Rep_Mariam,0.1,486.0
30000156,100082,200005,2,2025-06-07,2025-06-10,Credit Card,Rep_Omar,0.1,88.2
30000157,100034,200001,5,2025-08-17,2025-08-20,Credit Card,Rep_Ahmed,0.05,6170.25
30000158,100079,200006,2,2025-06-20,2025-06-24,Cash,Rep_Omar,0.1,1798.2
30000159,100096,200006,1,2025-08-23,2025-08-24,Credit Card,Rep_Omar,0.05,949.05
30000160,100074,200005,5,2024-10-20,2024-10-26,Credit Card,Rep_Sara,0.0,245.0
30000161,100038,200005,2,2024-09-28,2024-09-30,Mobile Wallet,Rep_Ahmed,0.05,93.1
30000162,100036,200003,4,2025-06-26,2025-06-28,Bank Transfer,Rep_Mariam,0.05,684.0
30000163,100033,200004,3,2024-10-06,2024-10-11,Cash,Rep_Omar,0.1,621.0
30000164,100053,200009,2,2024-11-23,2024-11-25,Credit Card,Rep_Sara,0.05,304.0
30000165,100071,200003,4,2024-11-09,2024-11-13,Credit Card,Rep_Sara,0.05,684.0
30000166,100061,200001,1,2025-07-12,2025-07-19,Mobile Wallet,Rep_Ahmed,0.0,1299.0
30000167,100094,200007,5,2025-06-26,2025-07-02,Credit Card,Rep_Sara,0.1,292.5
30000168,100100,200008,4,2025-08-25,2025-08-30,Credit Card,Rep_Ahmed,0.05,1216.0
30000169,100049,200006,1,2025-07-06,2025-07-07,Mobile Wallet,Rep_Ahmed,0.1,899.1
30000170,100041,200009,1,2025-04-18,2025-04-20,Cash,Rep_Omar,0.1,144.0
30000171,100002,200001,2,2025-07-26,2025-07-27,Bank Transfer,Rep_Ahmed,0.1,2338.2
30000172,100086,200009,5,2024-09-19,2024-09-26,Credit Card,Rep_Ahmed,0.05,760.0
30000173,100069,200007,2,2025-07-04,2025-07-05,Cash,Rep_Ahmed,0.1,117.0
30000174,100090,200002,4,2024-12-17,2024-12-24,Cash,Rep_Ahmed,0.05,4556.2
30000175,100065,200008,2,2025-08-16,2025-08-17,Mobile Wallet,Rep_Ahmed,0.1,576.0
30000176,100047,200005,1,2025-08-25,2025-08-29,Credit Card,Rep_Sara,0.1,44.1
30000177,100075,200005,1,2025-05-04,2025-05-08,Mobile Wallet,Rep_Sara,0.0,49.0
30000178,100090,200007,5,2025-05-27,2025-05-29,Cash,Rep_Sara,0.05,308.75
30000179,100024,200003,2,2025-02-21,2025-02-23,Bank Transfer,Rep_Omar,0.0,360.0
30000180,100045,200003,3,2024-11-06,2024-11-13,Bank Transfer,Rep_Sara,0.0,540.0
30000181,100067,200007,3,2025-07-08,2025-07-09,Mobile Wallet,Rep_Mariam,0.1,175.5
30000182,100017,200008,4,2024-10-29,2024-10-31,Bank Transfer,Rep_Ahmed,0.0,1280.0
30000183,100063,200002,2,2024-11-25,2024-12-02,Cash,Rep_Omar,0.05,2278.1
30000184,100039,200008,3,2025-05-25,2025-05-27,Cash,Rep_Ahmed,0.05,912.0
30000185,100023,200005,5,2024-10-28,2024-11-04,Credit Card,Rep_Sara,0.05,232.75
30000186,100072,200006,3,2025-05-19,2025-05-21,Bank Transfer,Rep_Sara,0.0,2997.0
30000187,100010,200001,1,2025-07-12,2025-07-17,Cash,Rep_Mariam,0.1,1169.1
30000188,100059,200004,2,2025-08-09,2025-08-12,Mobile Wallet,Rep_Sara,0.05,437.0
30000189,100035,200008,4,2024-12-05,2024-12-10,Credit Card,Rep_Ahmed,0.05,1216.0
30000190,100039,200008,1,2025-01-31,2025-02-03,Cash,Rep_Ahmed,0.05,304.0
30000191,100004,200006,5,2025-06-18,2025-06-19,Mobile Wallet,Rep_Omar,0.05,4745.25
30000192,100065,200006,3,2025-02-19,2025-02-23,Cash,Rep_Omar,0.05,2847.15
30000193,100070,200003,4,2024-10-18,2024-10-19,Mobile Wallet,Rep_Omar,0.05,684.0
30000194,100017,200003,5,2025-06-15,2025-06-19,Bank Transfer,Rep_Omar,0.1,810.0
30000195,100037,200003,2,2025-06-03,2025-06-08,Credit Card,Rep_Ahmed,0.1,324.0
30000196,100052,200007,2,2024-12-31,2025-01-04,Bank Transfer,Rep_Ahmed,0.0,130.0
30000197,100035,200010,3,2025-05-13,2025-05-14,Bank Transfer,Rep_Ahmed,0.0,360.0
30000198,100074,200008,1,2025-08-20,2025-08-22,Bank Transfer,Rep_Sara,0.0,320.0
30000199,100075,200005,3,2024-09-23,2024-09-28,Mobile Wallet,Rep_Omar,0.1,132.3
30000200,100067,200007,2,2025-01-04,2025-01-10,Cash,Rep_Sara,0.05,123.5
30000201,100096,200006,3,2024-12-03,2024-12-04,Bank Transfer,Rep_Ahmed,0.05,2847.15
30000202,100040,200008,1,2024-12-24,2024-12-28,Bank Transfer,Rep_Mariam,0.0,320.0
30000203,100098,200009,4,2025-01-09,2025-01-15,Bank Transfer,Rep_Ahmed,0.1,576.0
30000204,100083,200010,4,2025-04-25,2025-04-29,Cash,Rep_Sara,0.1,432.0
30000205,100049,200006,5,2024-11-01,2024-11-04,Cash,Rep_Omar,0.0,4995.0
30000206,100041,200001,4,2024-09-30,2024-10-01,Credit Card,Rep_Sara,0.1,4676.4
30000207,100070,200004,1,2025-06-29,2025-07-06,Credit Card,Rep_Sara,0.05,218.5
30000208,100048,200003,4,2024-11-01,2024-11-03,Cash,Rep_Ahmed,0.1,648.0
30000209,100059,200008,2,2024-12-20,2024-12-23,Credit Card,Rep_Omar,0.05,608.0
30000210,100017,200009,3,2024-11-23,2024-11-28,Mobile Wallet,Rep_Omar,0.05,456.0
30000211,100067,200007,2,2025-07-19,2025-07-24,Cash,Rep_Mariam,0.0,130.0
30000212,100068,200010,3,2025-06-19,2025-06-24,Credit Card,Rep_Ahmed,0.05,342.0
30000213,100054,200004,1,2025-07-29,2025-08-05,Bank Transfer,Rep_Ahmed,0.05,218.5
30000214,100077,200003,3,2025-03-31,2025-04-05,Mobile Wallet,Rep_Sara,0.0,540.0
30000215,100088,200002,1,2025-04-16,2025-04-20,Mobile Wallet,Rep_Ahmed,0.1,1079.1
30000216,100034,200001,1,2025-07-28,2025-07-31,Mobile Wallet,Rep_Sara,0.05,1234.05
30000217,100096,200008,2,2025-03-10,2025-03-16,Mobile Wallet,Rep_Omar,0.1,576.0
30000218,100055,200004,5,2025-06-05,2025-06-06,Mobile Wallet,Rep_Mariam,0.05,1092.5
30000219,100065,200003,3,2025-07-09,2025-07-16,Bank Transfer,Rep_Ahmed,0.1,486.0
30000220,100079,200010,4,2024-11-18,2024-11-22,Cash,Rep_Omar,0.1,432.0
30000221,100065,200010,3,2024-09-19,2024-09-22,Credit Card,Rep_Ahmed,0.05,342.0
30000222,100017,200009,2,2025-05-29,2025-06-05,Cash,Rep_Omar,0.0,320.0
30000223,100019,200006,1,2025-03-22,2025-03-23,Cash,Rep_Sara,0.0,999.0
30000224,100061,200003,5,2024-10-29,2024-11-02,Credit Card,Rep_Omar,0.05,855.0
30000225,100062,200009,1,2025-06-28,2025-06-29,Bank Transfer,Rep_Omar,0.1,144.0
30000226,100032,200006,5,2025-06-13,2025-06-15,Credit Card,Rep_Ahmed,0.0,4995.0
30000227,100036,200009,5,2025-05-31,2025-06-07,Cash,Rep_Mariam,0.0,800.0
30000228,100072,200008,4,2025-06-17,2025-06-21,Credit Card,Rep_Ahmed,0.1,1152.0
30000229,100068,200001,3,2024-12-30,2025-01-04,Credit Card,Rep_Mariam,0.05,3702.15
30000230,100028,200004,4,2025-01-21,2025-01-26,Mobile Wallet,Rep_Ahmed,0.0,920.0
30000231,100030,200005,1,2024-12-28,2024-12-31,Cash,Rep_Omar,0.1,44.1
30000232,100042,200001,2,2025-05-03,2025-05-10,Cash,Rep_Ahmed,0.0,2598.0
30000233,100026,200009,2,2024-12-22,2024-12-28,Mobile Wallet,Rep_Sara,0.0,320.0
30000234,100086,200002,4,2024-11-15,2024-11-17,Cash,Rep_Mariam,0.1,4316.4
30000235,100069,200006,3,2025-05-11,2025-05-17,Mobile Wallet,Rep_Mariam,0.05,2847.15
30000236,100018,200007,4,2025-01-10,2025-01-15,Cash,Rep_Omar,0.1,234.0
30000237,100100,200006,4,2025-05-11,2025-05-15,Credit Card,Rep_Mariam,0.05,3796.2
30000238,100028,200009,5,2025-05-30,2025-06-05,Mobile Wallet,Rep_Ahmed,0.1,720.0
30000239,100029,200010,4,2025-09-07,2025-09-10,Bank Transfer,Rep_Mariam,0.1,432.0
30000240,100069,200003,4,2025-06-10,2025-06-16,Credit Card,Rep_Mariam,0.05,684.0
30000241,100074,200002,3,2025-03-27,2025-04-02,Credit Card,Rep_Omar,0.0,3597.0
30000242,100087,200007,3,2025-06-03,2025-06-04,Credit Card,Rep_Ahmed,0.0,195.0
30000243,100068,200010,2,2025-05-27,2025-05-31,Mobile Wallet,Rep_Mariam,0.05,228.0
30000244,100013,200004,1,2025-05-14,2025-05-21,Bank Transfer,Rep_Mariam,0.1,207.0
30000245,100003,200006,5,2025-08-04,2025-08-08,Mobile Wallet,Rep_Sara,0.1,4495.5
30000246,100080,200007,4,2025-07-19,2025-07-25,Bank Transfer,Rep_Ahmed,0.0,260.0
30000247,100011,200004,1,2024-09-19,2024-09-25,Credit Card,Rep_Mariam,0.0,230.0
30000248,100007,200008,1,2025-06-22,2025-06-27,Cash,Rep_Sara,0.05,304.0
30000249,100045,200001,1,2025-02-03,2025-02-07,Bank Transfer,Rep_Sara,0.05,1234.05
30000250,100016,200002,5,2025-07-15,2025-07-18,Cash,Rep_Omar,0.05,5695.25
30000251,100032,200007,1,2025-08-19,2025-08-22,Credit Card,Rep_Ahmed,0.0,65.0
30000252,100018,200007,5,2025-07-27,2025-07-28,Mobile Wallet,Rep_Sara,0.05,308.75
30000253,100047,200007,5,2025-05-27,2025-05-30,Bank Transfer,Rep_Mariam,0.05,308.75
30000254,100064,200008,2,2024-11-08,2024-11-10,Credit Card,Rep_Sara,0.0,640.0
30000255,100060,200001,4,2025-07-19,2025-07-23,Credit Card,Rep_Sara,0.05,4936.2
30000256,100083,200007,4,2024-10-23,2024-10-28,Bank Transfer,Rep_Ahmed,0.0,260.0
30000257,100063,200010,2,2025-09-10,2025-09-14,Cash,Rep_Ahmed,0.0,240.0
30000258,100066,200003,5,2025-02-06,2025-02-07,Credit Card,Rep_Omar,0.1,810.0
30000259,100063,200007,2,2025-02-22,2025-02-23,Credit Card,Rep_Omar,0.05,123.5
30000260,100043,200008,2,2025-05-01,2025-05-04,Mobile Wallet,Rep_Mariam,0.05,608.0
30000261,100071,200009,1,2025-05-29,2025-06-05,Cash,Rep_Ahmed,0.0,160.0
30000262,100014,200004,5,2024-10-14,2024-10-15,Mobile Wallet,Rep_Ahmed,0.0,1150.0
30000263,100079,200007,4,2025-07-20,2025-07-21,Cash,Rep_Mariam,0.1,234.0
30000264,100092,200002,5,2025-05-04,2025-05-11,Cash,Rep_Mariam,0.05,5695.25
30000265,100039,200005,4,2024-09-18,2024-09-23,Mobile Wallet,Rep_Sara,0.1,176.4
30000266,100044,200008,5,2025-07-30,2025-08-03,Credit Card,Rep_Omar,0.05,1520.0
30000267,100059,200009,4,2024-11-01,2024-11-04,Bank Transfer,Rep_Omar,0.1,576.0
30000268,100021,200005,5,2025-01-12,2025-01-17,Cash,Rep_Ahmed,0.05,232.75
30000269,100080,200007,4,2025-01-18,2025-01-24,Cash,Rep_Ahmed,0.05,247.0
30000270,100004,200009,5,2024-12-12,2024-12-17,Credit Card,Rep_Ahmed,0.0,800.0
30000271,100074,200008,4,2024-12-07,2024-12-08,Bank Transfer,Rep_Ahmed,0.05,1216.0
30000272,100024,200001,5,2025-08-17,2025-08-21,Mobile Wallet,Rep_Mariam,0.1,5845.5
30000273,100046,200002,1,2025-01-10,2025-01-13,Cash,Rep_Mariam,0.1,1079.1
30000274,100001,200010,5,2024-12-04,2024-12-08,Cash,Rep_Sara,0.0,600.0
30000275,100073,200010,2,2025-08-29,2025-09-05,Bank Transfer,Rep_Ahmed,0.05,228.0
30000276,100033,200010,5,2024-11-04,2024-11-11,Mobile Wallet,Rep_Ahmed,0.05,570.0
30000277,100057,200004,2,2024-11-15,2024-11-16,Cash,Rep_Ahmed,0.1,414.0
30000278,100012,200008,5,2025-09-15,2025-09-17,Credit Card,Rep_Omar,0.05,1520.0
30000279,100098,200008,4,2025-03-11,2025-03-14,Bank Transfer,Rep_Sara,0.0,1280.0
